Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,Model,Model,WaitAreaSize,UserSpecified,TallyValue,Average,6.18878659321399,5.64846327281358,6.83040639290934,0.241515460225285,0.337638790652388
Scenario1,Model,Model,WaitAreaSize,UserSpecified,TallyValue,Maximum,37.5,30,44,2.7857213428482,3.89444048184931
Scenario1,Model,Model,WaitAreaSize,UserSpecified,TallyValue,Minimum,0,0,0,0,0
Scenario1,Model,Model,WaitAreaSize,UserSpecified,TallyValue,Observations,84518,84236,84844,155.209759930231,216.983358296847
Scenario1,Model,Model,WaitTime,UserSpecified,TallyValue,Average (Minutes),32.3625247214361,30.1509981610414,35.0497919555637,0.997314035971489,1.39424575425509
Scenario1,Model,Model,WaitTime,UserSpecified,TallyValue,Maximum (Minutes),157.428113054485,138.643562900197,176.171630400968,9.74381616969268,13.62186215659
Scenario1,Model,Model,WaitTime,UserSpecified,TallyValue,Minimum (Minutes),2.43257910402735,2.40791229121896,2.46619760300746,0.0123010652157042,0.0171968981997771
Scenario1,Model,Model,WaitTime,UserSpecified,TallyValue,Observations,42259,42118,42422,77.6048799651156,108.491679148423
Scenario1,ModelEntity,Patient,[Population],Content,NumberInSystem,Average,7.16022734006952,6.92727166577961,7.43775369099104,0.104246678760174,0.145736933417351
Scenario1,ModelEntity,Patient,[Population],Content,NumberInSystem,Maximum,54.6,49,59,2.24180316709563,3.13404247294484
Scenario1,ModelEntity,Patient,[Population],Content,NumberInSystem,Minimum,0,0,0,0,0
Scenario1,ModelEntity,Patient,[Population],FlowTime,TimeInSystem,Average (Minutes),89.0531436632427,86.4121036557192,92.1522639193089,1.1688389741836,1.63403774376433
Scenario1,ModelEntity,Patient,[Population],FlowTime,TimeInSystem,Maximum (Minutes),409.390160733448,360.574220205144,458.867279653595,25.5330779575572,35.6952617243682
Scenario1,ModelEntity,Patient,[Population],FlowTime,TimeInSystem,Minimum (Minutes),11.8164900821985,10.1163053684468,13.2544919187421,0.768175394546018,1.07390976536866
Scenario1,ModelEntity,Patient,[Population],FlowTime,TimeInSystem,Observations,42259,42118,42422,77.6048799651156,108.491679148423
Scenario1,ModelEntity,Patient,[Population],Throughput,NumberCreated,Total,42259,42118,42422,77.6048799651156,108.491679148423
Scenario1,ModelEntity,Patient,[Population],Throughput,NumberDestroyed,Total,42259,42118,42422,77.6048799651156,108.491679148423
Scenario1,Path,Path1,[Travelers],Content,NumberOnLink,Average,0.00598225044381933,0.0059622902622559,0.00600532497995506,1.09858687526548E-05,1.5358252579161E-05
Scenario1,Path,Path1,[Travelers],Content,NumberOnLink,Maximum,3.2,3,4,0.3016,0.421637021355784
Scenario1,Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0,0,0,0,0
Scenario1,Path,Path1,[Travelers],FlowTime,TimeOnLink,Average (Minutes),0.0744047619032973,0.0744047619032423,0.0744047619033609,2.87670955703572E-14,4.02164207206319E-14
Scenario1,Path,Path1,[Travelers],FlowTime,TimeOnLink,Maximum (Minutes),0.0744047619446064,0.0744047619446064,0.0744047619446064,0,0
Scenario1,Path,Path1,[Travelers],FlowTime,TimeOnLink,Minimum (Minutes),0.0744047618900368,0.0744047618900368,0.0744047618900368,0,0
Scenario1,Path,Path1,[Travelers],Throughput,NumberEntered,Total,42259,42118,42422,77.6048799651156,108.491679148423
Scenario1,Path,Path1,[Travelers],Throughput,NumberExited,Total,42259,42118,42422,77.6048799651156,108.491679148423
Scenario1,Path,Path10,[Travelers],Content,NumberOnLink,Average,0.00221296069844101,0.00218864381795361,0.00223162191102705,1.05534330032229E-05,1.4753707084074E-05
Scenario1,Path,Path10,[Travelers],Content,NumberOnLink,Maximum,2.3,2,3,0.34552620739967,0.483045891539648
Scenario1,Path,Path10,[Travelers],Content,NumberOnLink,Minimum,0,0,0,0,0
Scenario1,Path,Path10,[Travelers],FlowTime,TimeOnLink,Average (Minutes),0.0654761904898953,0.0654761904896751,0.0654761904900738,7.40060290670875E-14,1.03460482951646E-13
Scenario1,Path,Path10,[Travelers],FlowTime,TimeOnLink,Maximum (Minutes),0.0654761905025225,0.0654761905025225,0.0654761905025225,0,0
Scenario1,Path,Path10,[Travelers],FlowTime,TimeOnLink,Minimum (Minutes),0.0654761904752377,0.0654761904752377,0.0654761904752377,0,0
Scenario1,Path,Path10,[Travelers],Throughput,NumberEntered,Total,17764.2,17569,17914,84.7160524349429,118.433103480404
Scenario1,Path,Path10,[Travelers],Throughput,NumberExited,Total,17764.2,17569,17914,84.7160524349429,118.433103480404
Scenario1,Path,Path11,[Travelers],Content,NumberOnLink,Average,0.00144119872103825,0.00142213887106608,0.00145664591970726,8.15073701811563E-06,1.13947363334635E-05
Scenario1,Path,Path11,[Travelers],Content,NumberOnLink,Maximum,2.2,2,3,0.3016,0.421637021355784
Scenario1,Path,Path11,[Travelers],Content,NumberOnLink,Minimum,0,0,0,0,0
Scenario1,Path,Path11,[Travelers],FlowTime,TimeOnLink,Average (Minutes),0.0654761904899045,0.0654761904896862,0.0654761904901821,9.43637006570934E-14,1.31920522775748E-13
Scenario1,Path,Path11,[Travelers],FlowTime,TimeOnLink,Maximum (Minutes),0.0654761905025225,0.0654761905025225,0.0654761905025225,0,0
Scenario1,Path,Path11,[Travelers],FlowTime,TimeOnLink,Minimum (Minutes),0.0654761904752377,0.0654761904752377,0.0654761904752377,0,0
Scenario1,Path,Path11,[Travelers],Throughput,NumberEntered,Total,11569,11416,11693,65.4287817401486,91.469484893415
Scenario1,Path,Path11,[Travelers],Throughput,NumberExited,Total,11569,11416,11693,65.4287817401486,91.469484893415
Scenario1,Path,Path12,[Travelers],Content,NumberOnLink,Average,0.0010681737880038,0.00104629856150051,0.00108055646177564,7.70024793716873E-06,1.07649522676686E-05
Scenario1,Path,Path12,[Travelers],Content,NumberOnLink,Maximum,2.1,2,3,0.2262,0.316227766016838
Scenario1,Path,Path12,[Travelers],Content,NumberOnLink,Minimum,0,0,0,0,0
