Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,Model,Model,WaitAreaSize,UserSpecified,TallyValue,Average,0.634247514386385,0.610548893207565,0.670104432473301,0.0157418923394147,0.022007177044079
Scenario1,Model,Model,WaitAreaSize,UserSpecified,TallyValue,Maximum,14.3,12,18,1.17052277209801,1.63639169448448
Scenario1,Model,Model,WaitAreaSize,UserSpecified,TallyValue,Minimum,0,0,0,0,0
Scenario1,Model,Model,WaitAreaSize,UserSpecified,TallyValue,Observations,84511.4,84130,84672,128.497263129765,179.639268164471
Scenario1,Model,Model,WaitTime,UserSpecified,TallyValue,Average (Minutes),9.32760286550874,9.21799077766751,9.5335177809715,0.0775758949169178,0.10845115802977
Scenario1,Model,Model,WaitTime,UserSpecified,TallyValue,Maximum (Minutes),131.123944825297,119.620837227412,144.363515270052,5.23502716626466,7.31857182062481
Scenario1,Model,Model,WaitTime,UserSpecified,TallyValue,Minimum (Minutes),2.39513432786168,2.38492024727748,2.40564109884303,0.00463683624061045,0.006482300467525
Scenario1,Model,Model,WaitTime,UserSpecified,TallyValue,Observations,42255.7,42065,42336,64.2486315648824,89.8196340822354
Scenario1,ModelEntity,Patient,[Population],Content,NumberInSystem,Average,5.65372857253858,5.59520979720966,5.71856996527645,0.0303494230119136,0.0424285156452585
Scenario1,ModelEntity,Patient,[Population],Content,NumberInSystem,Maximum,42.3,39,45,1.35090205418454,1.88856206322871
Scenario1,ModelEntity,Patient,[Population],Content,NumberInSystem,Minimum,0,0,0,0,0
Scenario1,ModelEntity,Patient,[Population],FlowTime,TimeInSystem,Average (Minutes),70.3239916082309,69.64859486106,71.0106067703682,0.333866101818462,0.466745055379321
Scenario1,ModelEntity,Patient,[Population],FlowTime,TimeInSystem,Maximum (Minutes),372.593209804179,338.648747284751,409.217476639496,17.9880223612385,25.1472684631095
Scenario1,ModelEntity,Patient,[Population],FlowTime,TimeInSystem,Minimum (Minutes),11.6854554298573,10.4373028572809,13.9855400944361,0.749723981903961,1.04811467695286
Scenario1,ModelEntity,Patient,[Population],FlowTime,TimeInSystem,Observations,42255.7,42065,42336,64.2486315648824,89.8196340822354
Scenario1,ModelEntity,Patient,[Population],Throughput,NumberCreated,Total,42255.7,42065,42336,64.2486315648824,89.8196340822354
Scenario1,ModelEntity,Patient,[Population],Throughput,NumberDestroyed,Total,42255.7,42065,42336,64.2486315648824,89.8196340822354
Scenario1,Path,Path1,[Travelers],Content,NumberOnLink,Average,0.00598178329063301,0.0059547874989739,0.00599315068481046,9.09513724173914E-06,1.27150085392207E-05
Scenario1,Path,Path1,[Travelers],Content,NumberOnLink,Maximum,3,3,3,0,0
Scenario1,Path,Path1,[Travelers],Content,NumberOnLink,Minimum,0,0,0,0,0
Scenario1,Path,Path1,[Travelers],FlowTime,TimeOnLink,Average (Minutes),0.0744047619032866,0.0744047619032383,0.0744047619033472,2.81713832156221E-14,3.93836144114961E-14
Scenario1,Path,Path1,[Travelers],FlowTime,TimeOnLink,Maximum (Minutes),0.0744047619446064,0.0744047619446064,0.0744047619446064,0,0
Scenario1,Path,Path1,[Travelers],FlowTime,TimeOnLink,Minimum (Minutes),0.0744047618900368,0.0744047618900368,0.0744047618900368,0,0
Scenario1,Path,Path1,[Travelers],Throughput,NumberEntered,Total,42255.7,42065,42336,64.2486315648824,89.8196340822354
Scenario1,Path,Path1,[Travelers],Throughput,NumberExited,Total,42255.7,42065,42336,64.2486315648824,89.8196340822354
Scenario1,Path,Path10,[Travelers],Content,NumberOnLink,Average,0.00258172519442464,0.00254691916774463,0.00261070114934613,1.49906105536251E-05,2.09568845561508E-05
Scenario1,Path,Path10,[Travelers],Content,NumberOnLink,Maximum,2.5,2,3,0.377,0.52704627669473
Scenario1,Path,Path10,[Travelers],Content,NumberOnLink,Minimum,0,0,0,0,0
Scenario1,Path,Path10,[Travelers],FlowTime,TimeOnLink,Average (Minutes),0.0654761904899343,0.0654761904897876,0.065476190490062,6.29354214341736E-14,8.79837653556893E-14
Scenario1,Path,Path10,[Travelers],FlowTime,TimeOnLink,Maximum (Minutes),0.0654761905025225,0.0654761905025225,0.0654761905025225,0,0
Scenario1,Path,Path10,[Travelers],FlowTime,TimeOnLink,Minimum (Minutes),0.0654761904752377,0.0654761904752377,0.0654761904752377,0,0
Scenario1,Path,Path10,[Travelers],Throughput,NumberEntered,Total,20724.4,20445,20957,120.334809470244,168.228151957724
Scenario1,Path,Path10,[Travelers],Throughput,NumberExited,Total,20724.4,20445,20957,120.334809470244,168.228151957724
Scenario1,Path,Path11,[Travelers],Content,NumberOnLink,Average,0.00197692999425435,0.00194522586472752,0.00200626721430426,1.44903609430545E-05,2.02575352334207E-05
Scenario1,Path,Path11,[Travelers],Content,NumberOnLink,Maximum,2.4,2,3,0.369383053211703,0.516397779494322
Scenario1,Path,Path11,[Travelers],Content,NumberOnLink,Minimum,0,0,0,0,0
Scenario1,Path,Path11,[Travelers],FlowTime,TimeOnLink,Average (Minutes),0.0654761904899394,0.0654761904897705,0.0654761904901099,8.46657658701661E-14,1.18362802825938E-13
Scenario1,Path,Path11,[Travelers],FlowTime,TimeOnLink,Maximum (Minutes),0.0654761905025225,0.0654761905025225,0.0654761905025225,0,0
Scenario1,Path,Path11,[Travelers],FlowTime,TimeOnLink,Minimum (Minutes),0.0654761904752377,0.0654761904752377,0.0654761904752377,0,0
Scenario1,Path,Path11,[Travelers],Throughput,NumberEntered,Total,15869.5,15615,16105,116.31913303408,162.614233352708
Scenario1,Path,Path11,[Travelers],Throughput,NumberExited,Total,15869.5,15615,16105,116.31913303408,162.614233352708
