Clinic,Date,Start_Time,End_Time,Total_Scheduled_Visits
Adult Medicine,2016-01-04,08:32:00.0000000,08:47:00.0000000,1
Adult Medicine,2016-01-04,09:00:00.0000000,09:15:00.0000000,10
Adult Medicine,2016-01-04,09:10:00.0000000,09:20:00.0000000,1
Adult Medicine,2016-01-04,09:14:00.0000000,09:29:00.0000000,1
Adult Medicine,2016-01-04,09:15:00.0000000,09:30:00.0000000,1
Adult Medicine,2016-01-04,09:20:00.0000000,09:35:00.0000000,1
Adult Medicine,2016-01-04,09:30:00.0000000,09:45:00.0000000,11
Adult Medicine,2016-01-04,09:30:00.0000000,10:00:00.0000000,1
Adult Medicine,2016-01-04,09:40:00.0000000,09:55:00.0000000,1
Adult Medicine,2016-01-04,09:45:00.0000000,10:00:00.0000000,9
Adult Medicine,2016-01-04,09:50:00.0000000,10:05:00.0000000,1
Adult Medicine,2016-01-04,09:54:00.0000000,10:09:00.0000000,1
Adult Medicine,2016-01-04,10:00:00.0000000,10:10:00.0000000,1
Adult Medicine,2016-01-04,10:00:00.0000000,10:15:00.0000000,9
Adult Medicine,2016-01-04,10:07:00.0000000,10:22:00.0000000,1
Adult Medicine,2016-01-04,10:09:00.0000000,10:24:00.0000000,1
Adult Medicine,2016-01-04,10:10:00.0000000,10:25:00.0000000,1
Adult Medicine,2016-01-04,10:15:00.0000000,10:30:00.0000000,4
Adult Medicine,2016-01-04,10:20:00.0000000,10:35:00.0000000,1
Adult Medicine,2016-01-04,10:23:00.0000000,10:38:00.0000000,1
Adult Medicine,2016-01-04,10:30:00.0000000,10:40:00.0000000,2
Adult Medicine,2016-01-04,10:30:00.0000000,10:45:00.0000000,7
Adult Medicine,2016-01-04,10:40:00.0000000,10:55:00.0000000,1
Adult Medicine,2016-01-04,10:45:00.0000000,11:00:00.0000000,2
Adult Medicine,2016-01-04,10:50:00.0000000,11:00:00.0000000,1
Adult Medicine,2016-01-04,11:00:00.0000000,11:10:00.0000000,1
Adult Medicine,2016-01-04,11:00:00.0000000,11:15:00.0000000,11
Adult Medicine,2016-01-04,11:02:00.0000000,11:17:00.0000000,1
Adult Medicine,2016-01-04,11:10:00.0000000,11:25:00.0000000,1
Adult Medicine,2016-01-04,11:15:00.0000000,11:20:00.0000000,1
Adult Medicine,2016-01-04,11:15:00.0000000,11:30:00.0000000,6
Adult Medicine,2016-01-04,11:30:00.0000000,11:45:00.0000000,6
Adult Medicine,2016-01-04,11:37:00.0000000,11:52:00.0000000,1
Adult Medicine,2016-01-04,11:48:00.0000000,12:03:00.0000000,1
Adult Medicine,2016-01-04,13:00:00.0000000,13:10:00.0000000,1
Adult Medicine,2016-01-04,13:00:00.0000000,13:15:00.0000000,13
Adult Medicine,2016-01-04,13:10:00.0000000,13:25:00.0000000,1
Adult Medicine,2016-01-04,13:20:00.0000000,13:35:00.0000000,2
Adult Medicine,2016-01-04,13:30:00.0000000,13:45:00.0000000,5
