"Clinic","Date","No_Shows","Total_Visits_Arrived_and_No_Show"
"Adult Medicine","2016-01-04",57,216
"Adult Medicine","2016-01-05",50,162
"Adult Medicine","2016-01-06",52,229
"Adult Medicine","2016-01-07",45,179
"Adult Medicine","2016-01-08",47,155
"Adult Medicine","2016-01-11",55,234
"Adult Medicine","2016-01-12",67,236
"Adult Medicine","2016-01-13",49,246
"Adult Medicine","2016-01-14",31,208
"Adult Medicine","2016-01-15",34,158
"Adult Medicine","2016-01-19",47,227
"Adult Medicine","2016-01-20",52,228
"Adult Medicine","2016-01-21",58,236
"Adult Medicine","2016-01-22",24,129
"Adult Medicine","2016-01-23",0,1
"Adult Medicine","2016-01-25",59,218
"Adult Medicine","2016-01-26",47,229
"Adult Medicine","2016-01-27",60,238
"Adult Medicine","2016-01-28",48,240
"Adult Medicine","2016-01-29",8,119
